song_id,filepath,genre
jazz_jazz.00075,data/raw/gtzan/jazz/jazz.00075.wav,jazz
country_country.00004,data/raw/gtzan/country/country.00004.wav,country
rock_rock.00064,data/raw/gtzan/rock/rock.00064.wav,rock
jazz_jazz.00003,data/raw/gtzan/jazz/jazz.00003.wav,jazz
jazz_jazz.00002,data/raw/gtzan/jazz/jazz.00002.wav,jazz
hiphop_hiphop.00098,data/raw/gtzan/hiphop/hiphop.00098.wav,hiphop
country_country.00010,data/raw/gtzan/country/country.00010.wav,country
pop_pop.00078,data/raw/gtzan/pop/pop.00078.wav,pop
reggae_reggae.00008,data/raw/gtzan/reggae/reggae.00008.wav,reggae
rock_rock.00006,data/raw/gtzan/rock/rock.00006.wav,rock
country_country.00078,data/raw/gtzan/country/country.00078.wav,country
pop_pop.00029,data/raw/gtzan/pop/pop.00029.wav,pop
rock_rock.00089,data/raw/gtzan/rock/rock.00089.wav,rock
metal_metal.00064,data/raw/gtzan/metal/metal.00064.wav,metal
pop_pop.00023,data/raw/gtzan/pop/pop.00023.wav,pop
rock_rock.00046,data/raw/gtzan/rock/rock.00046.wav,rock
pop_pop.00006,data/raw/gtzan/pop/pop.00006.wav,pop
pop_pop.00009,data/raw/gtzan/pop/pop.00009.wav,pop
blues_blues.00000,data/raw/gtzan/blues/blues.00000.wav,blues
classical_classical.00010,data/raw/gtzan/classical/classical.00010.wav,classical
blues_blues.00007,data/raw/gtzan/blues/blues.00007.wav,blues
reggae_reggae.00046,data/raw/gtzan/reggae/reggae.00046.wav,reggae
metal_metal.00047,data/raw/gtzan/metal/metal.00047.wav,metal
hiphop_hiphop.00050,data/raw/gtzan/hiphop/hiphop.00050.wav,hiphop
rock_rock.00031,data/raw/gtzan/rock/rock.00031.wav,rock
blues_blues.00057,data/raw/gtzan/blues/blues.00057.wav,blues
hiphop_hiphop.00080,data/raw/gtzan/hiphop/hiphop.00080.wav,hiphop
disco_disco.00078,data/raw/gtzan/disco/disco.00078.wav,disco
rock_rock.00036,data/raw/gtzan/rock/rock.00036.wav,rock
hiphop_hiphop.00066,data/raw/gtzan/hiphop/hiphop.00066.wav,hiphop
reggae_reggae.00091,data/raw/gtzan/reggae/reggae.00091.wav,reggae
metal_metal.00083,data/raw/gtzan/metal/metal.00083.wav,metal
blues_blues.00096,data/raw/gtzan/blues/blues.00096.wav,blues
blues_blues.00093,data/raw/gtzan/blues/blues.00093.wav,blues
metal_metal.00094,data/raw/gtzan/metal/metal.00094.wav,metal
classical_classical.00068,data/raw/gtzan/classical/classical.00068.wav,classical
blues_blues.00046,data/raw/gtzan/blues/blues.00046.wav,blues
disco_disco.00013,data/raw/gtzan/disco/disco.00013.wav,disco
rock_rock.00062,data/raw/gtzan/rock/rock.00062.wav,rock
hiphop_hiphop.00024,data/raw/gtzan/hiphop/hiphop.00024.wav,hiphop
jazz_jazz.00071,data/raw/gtzan/jazz/jazz.00071.wav,jazz
pop_pop.00031,data/raw/gtzan/pop/pop.00031.wav,pop
rock_rock.00022,data/raw/gtzan/rock/rock.00022.wav,rock
classical_classical.00059,data/raw/gtzan/classical/classical.00059.wav,classical
hiphop_hiphop.00087,data/raw/gtzan/hiphop/hiphop.00087.wav,hiphop
jazz_jazz.00091,data/raw/gtzan/jazz/jazz.00091.wav,jazz
jazz_jazz.00061,data/raw/gtzan/jazz/jazz.00061.wav,jazz
reggae_reggae.00068,data/raw/gtzan/reggae/reggae.00068.wav,reggae
classical_classical.00089,data/raw/gtzan/classical/classical.00089.wav,classical
disco_disco.00096,data/raw/gtzan/disco/disco.00096.wav,disco
reggae_reggae.00020,data/raw/gtzan/reggae/reggae.00020.wav,reggae
reggae_reggae.00089,data/raw/gtzan/reggae/reggae.00089.wav,reggae
pop_pop.00099,data/raw/gtzan/pop/pop.00099.wav,pop
country_country.00030,data/raw/gtzan/country/country.00030.wav,country
blues_blues.00067,data/raw/gtzan/blues/blues.00067.wav,blues
country_country.00025,data/raw/gtzan/country/country.00025.wav,country
hiphop_hiphop.00089,data/raw/gtzan/hiphop/hiphop.00089.wav,hiphop
disco_disco.00016,data/raw/gtzan/disco/disco.00016.wav,disco
jazz_jazz.00040,data/raw/gtzan/jazz/jazz.00040.wav,jazz
country_country.00029,data/raw/gtzan/country/country.00029.wav,country
hiphop_hiphop.00043,data/raw/gtzan/hiphop/hiphop.00043.wav,hiphop
blues_blues.00072,data/raw/gtzan/blues/blues.00072.wav,blues
hiphop_hiphop.00017,data/raw/gtzan/hiphop/hiphop.00017.wav,hiphop
country_country.00059,data/raw/gtzan/country/country.00059.wav,country
metal_metal.00065,data/raw/gtzan/metal/metal.00065.wav,metal
country_country.00079,data/raw/gtzan/country/country.00079.wav,country
reggae_reggae.00056,data/raw/gtzan/reggae/reggae.00056.wav,reggae
jazz_jazz.00015,data/raw/gtzan/jazz/jazz.00015.wav,jazz
jazz_jazz.00013,data/raw/gtzan/jazz/jazz.00013.wav,jazz
classical_classical.00098,data/raw/gtzan/classical/classical.00098.wav,classical
disco_disco.00034,data/raw/gtzan/disco/disco.00034.wav,disco
classical_classical.00065,data/raw/gtzan/classical/classical.00065.wav,classical
jazz_jazz.00016,data/raw/gtzan/jazz/jazz.00016.wav,jazz
pop_pop.00066,data/raw/gtzan/pop/pop.00066.wav,pop
country_country.00084,data/raw/gtzan/country/country.00084.wav,country
pop_pop.00046,data/raw/gtzan/pop/pop.00046.wav,pop
pop_pop.00021,data/raw/gtzan/pop/pop.00021.wav,pop
reggae_reggae.00088,data/raw/gtzan/reggae/reggae.00088.wav,reggae
metal_metal.00034,data/raw/gtzan/metal/metal.00034.wav,metal
country_country.00012,data/raw/gtzan/country/country.00012.wav,country
reggae_reggae.00036,data/raw/gtzan/reggae/reggae.00036.wav,reggae
hiphop_hiphop.00069,data/raw/gtzan/hiphop/hiphop.00069.wav,hiphop
jazz_jazz.00009,data/raw/gtzan/jazz/jazz.00009.wav,jazz
hiphop_hiphop.00070,data/raw/gtzan/hiphop/hiphop.00070.wav,hiphop
disco_disco.00092,data/raw/gtzan/disco/disco.00092.wav,disco
jazz_jazz.00018,data/raw/gtzan/jazz/jazz.00018.wav,jazz
country_country.00060,data/raw/gtzan/country/country.00060.wav,country
metal_metal.00055,data/raw/gtzan/metal/metal.00055.wav,metal
hiphop_hiphop.00036,data/raw/gtzan/hiphop/hiphop.00036.wav,hiphop
