song_id,filepath,genre
pop_pop.00059,data/raw/gtzan/pop/pop.00059.wav,pop
jazz_jazz.00044,data/raw/gtzan/jazz/jazz.00044.wav,jazz
disco_disco.00004,data/raw/gtzan/disco/disco.00004.wav,disco
blues_blues.00083,data/raw/gtzan/blues/blues.00083.wav,blues
pop_pop.00080,data/raw/gtzan/pop/pop.00080.wav,pop
country_country.00028,data/raw/gtzan/country/country.00028.wav,country
disco_disco.00098,data/raw/gtzan/disco/disco.00098.wav,disco
blues_blues.00053,data/raw/gtzan/blues/blues.00053.wav,blues
rock_rock.00017,data/raw/gtzan/rock/rock.00017.wav,rock
metal_metal.00078,data/raw/gtzan/metal/metal.00078.wav,metal
hiphop_hiphop.00094,data/raw/gtzan/hiphop/hiphop.00094.wav,hiphop
classical_classical.00037,data/raw/gtzan/classical/classical.00037.wav,classical
hiphop_hiphop.00040,data/raw/gtzan/hiphop/hiphop.00040.wav,hiphop
jazz_jazz.00058,data/raw/gtzan/jazz/jazz.00058.wav,jazz
reggae_reggae.00064,data/raw/gtzan/reggae/reggae.00064.wav,reggae
reggae_reggae.00092,data/raw/gtzan/reggae/reggae.00092.wav,reggae
rock_rock.00076,data/raw/gtzan/rock/rock.00076.wav,rock
classical_classical.00079,data/raw/gtzan/classical/classical.00079.wav,classical
metal_metal.00068,data/raw/gtzan/metal/metal.00068.wav,metal
country_country.00048,data/raw/gtzan/country/country.00048.wav,country
